"","title","url","date","news"
"1","United Puts Off CEO’s Added Role as Chairman Amid Dragging Furor","https://www.bloomberg.com/news/articles/2017-04-21/united-ceo-won-t-automatically-add-chairman-title-next-year","17198","United Airlines canceled Chief Executive Officer Oscar Munoz’s expected 2018 elevation to chairman and tied compensation more closely to customer service, after a passenger’s forcible removal from a flight sparked a public-relations disaster., Maintaining an independent chairman “is a means to ensure that Mr. Munoz is able to more exclusively focus on his role as chief executive officer,” United Continental Holdings Inc. said in a regulatory filing Friday. The carrier said it would link executive bonuses in part to “demonstrable progress toward improvements in the customer experience.”, The airline adopted the changes less than two weeks after passenger David Dao was dragged off a plane by security officers in Chicago. Dao suffered a concussion, broken nose and two lost teeth after he refused to give up his seat for a United crew member before the flight left for Louisville, Kentucky, his lawyer said., Munoz, who had been expected to add the chairman’s role at next year’s annual shareholders meeting, initiated the change, according to the filing. He already agreed last year to delay becoming chairman, after the board was revamped as part of a deal with two activist shareholders. The company named Robert Milton as chairman, and three incumbent directors decided not to stand for re-election., “The board also believes that an independent chairman of the board can effectively manage the relationship between the board and the chief executive officer,” the company said in the filing., United said bonus payouts would also be tied to “necessary cultural and process changes,” saying the adjustments were prompted by “recent events.” Until 2016, the airline used customer surveys as one tool in determining compensation. Last year it switched to a metric based on the rate of on-time arrivals., It’s too soon to say how the Chicago-based company will measure customer satisfaction in the future, said spokeswoman Megan McCarthy. , Munoz earned $18.7 million last year as he collected a multimillion-dollar signing award. The company granted him stock valued at $6.8 million to entice him to join the company in September 2015. The payout came well before the April 9 incident with Dao., Munoz said earlier this week that Dao’s treatment was a “humbling learning experience” for United and accepted full responsibility., The CEO’s initial reaction drew scorn worldwide last week when he called the incident “upsetting” and apologized for having to “re-accommodate” the passengers who were asked to leave the plane. Hours later he told employees that Dao had been “disruptive and belligerent,” based on early reports., He finally appeared on ABC’s “Good Morning America” with a more contrite message and promised a full review of United’s policies regarding oversold flights."
"2","Will United Airlines’ Customer Problems Impact Investors?","https://www.bloomberg.com/news/videos/2017-04-18/will-problems-at-united-airlines-impact-investors-video","17174",""
"3","United Airlines Exposes Our Twisted Idea of Dignity","https://www.bloomberg.com/view/articles/2017-04-18/united-airlines-exposes-our-twisted-idea-of-dignity","17174",""
"4","Megan McArdle on Blame Deregulation and Other Fallacies (Audio)","https://www.bloomberg.com/news/audio/2017-04-19/megan-mcardle-on-blame-deregulation-and-other-fallacies-audio","17175",""
"5","United Continental Beats 1Q Estimates","https://www.bloomberg.com/news/videos/2017-04-18/united-continental-beats-1q-estimates-video","17173",""
"6","United Air CEO Calls Dragging Incident a ‘Humbling Experience’","https://www.bloomberg.com/news/articles/2017-04-17/united-air-ceo-calls-dragging-incident-a-humbling-experience","17173","United Airlines Chief Executive Officer Oscar Munoz, pivoting from a public apology to face investors, assured Wall Street that the carrier would rebound from the uproar that followed the dragging of a passenger off one of its planes., “This will prove to be a watershed moment for our company, and we are more determined than ever to put our customers at the center of everything we do,” Munoz said in a statement Monday. “We are dedicated to setting the standard for customer service among U.S. airlines, as we elevate the experience our customers have with us from booking to baggage claim.”, The comments were the CEO’s first to investors since the April 9 incident, when security officers forcibly removed David Dao from a flight after he refused to give up his seat to make room for airline employees. Munoz, who also announced a first-quarter financial performance that topped expectations, is trying to maintain momentum for his plan to catch up to Delta Air Lines Inc. and American Airlines Group Inc. in profitability and operational performance., “United said the right things regarding its need to upgrade its customer service and should be able to move past its PR nightmare,” Jim Corridore, an analyst at CFRA Research, said in a note to clients in which he reiterated a “strong buy” rating on the shares., The shares were unchanged at $70.77 at 9:34 a.m. in New York. The company plans to hold a conference call at 10:30 a.m. to discuss the financial results., Munoz’s sober tone contrasted with a better-than-expected financial performance. Adjusted earnings of 41 cents a share beat the 38-cent average of analyst estimates even as higher fuel and labor costs caused profit to fall from a year earlier. Sales were $8.42 billion, topping the $8.38 billion that analysts anticipated., Passenger revenue for each seat flown a mile will rise by 1 percent to 3 percent in the current quarter, the Chicago-based airline said. That would be the first increase for the crucial benchmark since the first three months of 2015., “We are most interested with how each region is performing,” Cowen & Co. analyst Helane Becker wrote in a note to investors. “We suspect the underlying improvement is being driven by the domestic and Latin American markets. It will be interesting to see how the Pacific and Atlantic are performing, given both regions have been drags” on profit., Domestic capacity will climb by as much as 5.5 percent in the second quarter while total capacity will rise by a maximum of 4 percent, United said., Munoz said Dao’s treatment was a “humbling experience” for United and accepted full responsibility., The CEO’s initial reaction drew scorn worldwide last week when he called the incident “upsetting” and apologized for having to “re-accommodate” the passengers who were asked to leave the plane. Hours later he told employees that Dao had been “disruptive and belligerent” after being asked to leave the plane, based on early reports., He finally went on ABC’s “Good Morning America” with a more contrite message and promised a full review of United’s policies regarding oversold flights., Dao suffered a concussion, broken nose and two lost teeth, and “probably” will sue the carrier, his lawyer, Thomas Demetrio, said at a press conference last week."
"7","United CEO Calls Dragging Incident 'Humbling Experience'","https://www.bloomberg.com/news/videos/2017-04-18/united-continental-comments-on-dragging-incident-video","17173",""
"8","Emirates Trims U.S. Flights After Drop in Demand","https://www.bloomberg.com/news/articles/2017-04-19/urgent-emirates-trims-us-flights-after-trump-administration-curbs","17175","U.S. airlines stand to benefit from flight cutbacks by Dubai-based Emirates, which blamed President Donald Trump’s travel restrictions for hurting demand from Middle Eastern passengers., Emirates will pare service to five U.S. cities after the country banned on-board electronics on flights from some Middle Eastern airports and attempted to block travel from six predominantly Muslim nations. That trims competition from the biggest Persian Gulf carrier -- a persistent irritant to long-haul U.S. operators that see it as an unfair rival., With fewer flights, some Emirates passengers may switch to big European airlines and their U.S. partners for travel from the Middle East and Asia. American Airlines Group Inc., Delta Air Lines Inc. and United Continental Holdings Inc. have prodded U.S. officials for two years to act on their complaints that $50 billion in government support has enabled Emirates, Etihad Airways PJSC and Qatar Airways Ltd. to compete unfairly., “Any reduction in capacity from them is only a good thing for U.S. airlines,” said Joe DeNardi, an analyst at Stifel Financial Corp., Etihad said demand remained strong for flights to the U.S. and pledged to upgrade New York service by using Airbus SE A380 super jumbo jets. Qatar Airways, which also serves airports affected by the laptop ban, didn’t immediately comment on its own capacity in the U.S., “I understand the problem and I agree as a business traveler, that’s my most productive travel and now I’m looking to book through Europe,” said Michael Weiss, an Atlanta businessman who frequently travels to the Middle East and has preferred the customer service on Qatar Airways. “Fellow peers are doing the same thing because we need to be able to work.”, A Bloomberg index of U.S. airlines advanced 1.4 percent at the close in New York, the biggest gain in three weeks., American declined to comment. United and Delta referred questions to the Partnership for Open & Fair Skies, which represents the carriers and several airline unions. In a statement Wednesday, that group said the Persian Gulf carriers were “propped up by billions of dollars in government cash” and as a result have never considered market demand in deciding where to fly., Emirates’ service to Seattle, Boston and Los Angeles will drop to one a day from two, while Fort Lauderdale and Orlando will get five flights a week, compared with daily services now. The changes will be phased in starting on May 1, the airline said in a statement Wednesday., “The recent actions taken by the U.S. government relating to the issuance of entry visas, heightened security vetting and restrictions on electronic devices in aircraft cabins, have had a direct impact on consumer interest and demand for air travel into the U.S.,” Emirates said. “Over the past three months, we have seen a significant deterioration in the booking profiles on all our U.S. routes, across all travel segments.”, Emirates will redeploy some U.S. capacity to serve routes across its global network. The carrier’s Dubai hub was one of the 10 airports affected by a ban on electronics in carry-on luggage on U.S.-bound flights. Trump’s order restricting visitors from six countries -- Iran, Libya, Somalia, Sudan, Syria and Yemen -- has been blocked in court., Emirates, which serves 12 U.S. cities as part of its network of more than 150 destinations worldwide, will “closely monitor” the situation with the “view to reinstate and grow” its U.S. operations as soon as viable, it said., Emirates, Etihad and Qatar Airways have grabbed a substantial portion of the lucrative market for travel from the Americas and Europe to the Middle East, Asia, Africa and Australia by developing their home bases into huge transfer hubs. If travelers look to European carriers to get to the Middle East or India, U.S. carriers could benefit through revenue-sharing agreements with partner airlines., “If Emirates slashes their presence to Seattle in half, that’s a few hundred seats a week,” said Peter van der Lende, a former Delta executive who worked on global alliances. “That traffic would have gone to Dubai and beyond. Some of that traffic needs to find other solutions. The one that’s on top of the list to receive that traffic is Delta,” which has a Seattle hub., Some of the flights Emirates is cutting may not have been very profitable, van der Lende said. Florida cities often attract more leisure travelers than lucrative business fliers. Boston doesn’t work as well as other Emirates destinations such as Dallas for flight connections to other U.S. cities., “I think they were hurt by both bans, but most likely those routes were marginally profitable, if at all,” said van der Lende, who’s now a business development consultant in Atlanta with Expand360."
"9","The Emerging Anti-Corporate Majority","https://www.bloomberg.com/view/articles/2017-04-19/the-emerging-anti-corporate-majority","17175",""
"10","United Picks a Funny Time to Attract More Passengers","https://www.bloomberg.com/news/articles/2017-04-19/united-picks-a-funny-time-to-attract-more-passengers","17175","Just as United Airlines Inc. grapples with the fallout from a customer service debacle, the carrier is embarking on a growth spurt—an effort to regain what its president dubs “natural market share” after years of decisions that ceded traffic to rivals., In the second quarter, United plans to boost domestic growth by as much as 5.5 percent as its mainline flights expand and regional jets disappear on marquee business routes such as Chicago-Washington and Newark-Atlanta. The switch to larger jets for many destinations is meant to show that United has a superior product while making it more competitive with domestic rivals. United also wants to command higher shares at its hubs, much the way its competitors do in cities such as Atlanta, Dallas-Fort Worth, Charlotte, N.C., and Detroit., “This is not trying to go invade someone’s hub. This is about restoring United to where it should have been,” President Scott Kirby told analysts Tuesday, seeking to assure them that turf battles and fare wars aren’t in the offing., The timing is a bit awkward, given the ferocious, global denunciations the airline faced last week over that incident in Chicago. The carrier called airport security to an O’Hare International Airport gate on April 9 when Dr. David Dao declined to relinquish his seat to an airline employee. Dao suffered a concussion, broken nose, and other injuries when security personnel dragged him from the plane. His lawyers have said he plans to sue., United executives said on Tuesday they have fielded “appropriate questions and concerns” from corporate customers and are reviewing the assault on the passenger, as well as new policies aimed at preventing a recurrence. Naturally, that review will revive news of the incident and bring fresh attention to it when United makes the report public later this month., The planned domestic growth at United, while modest relative to low-cost carriers, is rare in this era, in which four huge airlines have carved up most of the U.S. market. American Airlines Group Inc. plans systemwide, second-quarter growth of 1 percent, while Delta Air Lines Inc. plans growth of 1 percent or less, and possibly none. Domestically, Southwest Airlines Co. has targeted 2.5 percent growth for the full year., The United hub growth strategy, begun under Kirby, a former American Airlines president, is a marked reversal from United’s network approach following its 2010 merger with Continental. Under former Chief Executive Officer Jeff Smisek, the airline turned to regional flying and shrank domestically in response to weak financial returns relative to those of the industry., “United did a lot of cumulative actions in the past three or four years, which caused it to lose its natural share, and which hurt its financials,” Kirby said to the analysts, adding: “And you guys used to get on this earnings call and beat them up.” Wall Street’s proposed solution of cutting capacity just made things worse, he said., The new strategy is also driven by the tight supply of pilots in the regional jet industry. “Everyone knows that United never should have been flying regional jets in markets like Chicago to Washington National or New York to Atlanta,” Kirby said. He cited United’s 1,200 daily seats on six mainline flights between Atlanta and Newark, restored from the 300 it flew with 50-seat regional jets on the route for several years. Amid United’s prior downsizing, Delta retained its 1,800 daily seats on a dozen mainline flights between those cities, Kirby said, helping that airline boost the 60 percent market share it enjoyed as United’s 40 percent share slipped. United is now aiming to return to the “natural” level it previously enjoyed., Investors remain skeptical that United’s new flying will work in tandem with higher profits—shares in parent United Continental Holdings Inc. dropped 4 percent on Tuesday. Also unclear: Will the rest of the industry stand pat as United builds greater market share, even if it’s focused on the carrier’s own hubs?, “There is no 'natural share,' everything is market share,” said George Ferguson, an aerospace and defense analyst at Bloomberg Intelligence. “When you’re expanding, you’re trying to take market share. Delta is going to be ticked.” He said United is “talking right at business travel, and when you’re talking about business travel, there’s going to be a fight to keep it.”, Cowen & Co. analyst Helane Becker echoed that sentiment in a client note on Tuesday: “So far there hasn’t been a competitive response, but these are high-value business travelers we are speaking about. We do not believe this strategy will be ignored by the other airlines.”"
