"","crisis","passenger","company","discussion","jokes"
"1","drag","passeng","fli","genius","first"
"2","plane","seat","dontflyunit","whoever","new"
"3","passeng","overbook","never","dontflyunit","simpson"
"4","class","treat","ever","disgust","ascaniospread"
"5","guy","beat","airlin","absolut","beingfarhad"
"6","asian","want","custom","behaviour","footag"
"7","new","dontflyunit","like","internet","disturb"
"8","use","see","ceo","now","insid"
"9","ordinari","human","market","train","ceo"
"10","asian-look","drag","passeng","best","oscar"
